MAPPING;Default
;
PATH;/System/ProductHierarchy/bcpg:entityLists/localSemiFinishedProduct_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Sauce
VALUES;Shaped
VALUES;Braised - burnished
VALUES;Sliced
VALUES;Mixture - packing
VALUES;Pastry
;
PATH;/System/ProductHierarchy/bcpg:entityLists/semiFinishedProduct_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Sauce
VALUES;Shaped
VALUES;Braised - burnished
VALUES;Sliced
VALUES;Mixture - packing
VALUES;Pastry
;
PATH;/System/ProductHierarchy/bcpg:entityLists/finishedProduct_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Bakery-pastry
VALUES;Pastries and biscuits
VALUES;Breakfast cereals and cereal bars
VALUES;Mixed dishes
VALUES;Sandwiches
VALUES;Japanese products
VALUES;Quiches
VALUES;Menus - kits
;
PATH;/System/ProductHierarchy/bcpg:entityLists/rawMaterial_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Grocery
