PATH;/System/ProductHierarchy/bcpg:entityLists/finishedProduct_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Beauté et soins
VALUES;Bien-être
VALUES;Compléments alimentaires
VALUES;Hygiène
VALUES;Ligne et minceur
;
PATH;/System/ProductHierarchy/bcpg:entityLists/rawMaterial_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Ingrédients de base
VALUES;Huiles Essentielles
VALUES;Huiles/beurres végétaux
VALUES;Extraits de plantes
VALUES;Actifs cosmétiques
VALUES;Les plus
;
PATH;/System/ProductHierarchy/bcpg:entityLists/localSemiFinishedProduct_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Modes opératoires
;
PATH;/System/ProductHierarchy/bcpg:entityLists/semiFinishedProduct_Hierarchy
TYPE;bcpg:linkedValue
COLUMNS;bcpg:lkvValue
VALUES;Bases
VALUES;Préparation
VALUES;Savons
