PATH;/System/Characts/bcpg:entityLists/Nuts;;;;;;
TYPE;bcpg:nut;;;;;;
COLUMNS;cm:name;bcpg:nutUnit;bcpg:nutType;bcpg:nutGroup;bcpg:legalName;bcpg:legalName_fr;bcpg:legalName_en
VALUES;Total des nutriments digestibles;g;Valeur énergétique;Groupe 1;Total des nutriments digestibles;Total des nutriments digestibles;Total digestible nutrient
VALUES;Energie digestible;kcal;Valeur énergétique;Groupe 1;Energie digestible;Energie digestible;Digestible energy
VALUES;Energie nette pour l'entretien;kcal;Valeur énergétique;Groupe 1;Energie nette pour l'entretien;Energie nette pour l'entretien;Net Energy for maintenance
VALUES;Energie nette pour la croissance;kcal;Valeur énergétique;Groupe 1;Energie nette pour la croissance;Energie nette pour la croissance;Net Engergy for growth
VALUES;Protéines brutes;g;Nutriment;Groupe 1;Protéines brutes;Protéines brutes;Crude protein
VALUES;Protéines non dégradées;g;Nutriment;Groupe 1;Protéines non dégradées;Protéines non dégradées;Undegraded intake protein
VALUES;Extrait d'éther;g;Minéraux;Autre;Extrait d'éther;Extrait d'éther;ether extract
VALUES;Fibres brutes;g;Nutriment;Autre;Fibres brutes;Fibres brutes;crude fiber
VALUES;Fibres au détergent acide;g;Nutriment;Autre;Fibres au détergent acide;Fibres au détergent acide;acid detergent fiber 
VALUES;Fibres au détergent neutre;g;Nutriment;Autre;Fibres au détergent neutre;Fibres au détergent neutre;neutral detergent fiber
VALUES;Cendre;g;Minéraux;Autre;Cendre;Cendre;Ash
VALUES;Soufre;g;Minéraux;Autre;Soufre;Soufre;sulfur
